,Call Strike,OI of Call,Change_oi in Call,Call ltp,Put Strike,OIPut,Change_oi in Put,Put ltp,Cost,Cost Per Lot,Arbitrage Diff,Arbitrage percent in Spot,Arbitrage percent in Cost
139,45000.0,2440075.0,1173100.0,276.9,44000.0,3446600.0,623950.0,7.1,284.0,7100.0,-1284.0,-2.841591246836683,-4.52112676056338
140,46200.0,1691100.0,436775.0,5.45,45000.0,7724850.0,4165800.0,81.3,86.75,2168.75,-1286.75,-2.8476772093980545,-14.832853025936599
141,45300.0,5254300.0,3348375.0,105.3,44100.0,1127275.0,-178000.0,7.55,112.85,2821.25,-1312.8500000000058,-2.9054385267987195,-11.63358440407626
142,46400.0,814075.0,259075.0,4.45,45300.0,2801750.0,573900.0,210.05,214.5,5362.5,-1314.5,-2.9090901043355295,-6.128205128205129
143,45100.0,2374975.0,1930075.0,209.0,44000.0,3446600.0,623950.0,7.1,216.1,5402.5,-1316.0999999999985,-2.912631028007597,-6.090236001850989
144,46300.0,1066325.0,317750.0,4.85,45100.0,4001700.0,2254300.0,113.15,118.0,2950.0,-1318.0,-2.9168358748681835,-11.169491525423728
145,45800.0,2359900.0,438450.0,13.05,44500.0,4072275.0,646925.0,15.25,28.3,707.5,-1328.300000000003,-2.939630571007145,-46.93639575971741
146,45900.0,1876100.0,583675.0,9.6,44600.0,2667550.0,780250.0,20.15,29.75,743.75,-1329.75,-2.9428395330849524,-44.69747899159664
147,45700.0,3450825.0,1492750.0,18.95,44400.0,1870800.0,306325.0,11.65,30.6,765.0,-1330.5999999999985,-2.944720648785737,-43.4836601307189
148,46000.0,4340325.0,1180850.0,7.8,44700.0,2593750.0,641550.0,28.35,36.15,903.75,-1336.1500000000015,-2.9570032277732383,-36.96127247579534
149,45600.0,3584900.0,1722975.0,29.2,44300.0,2207225.0,112700.0,9.5,38.7,967.5000000000001,-1338.699999999997,-2.9626465748755915,-34.59173126614979
150,46100.0,1754375.0,698050.0,6.3,44800.0,3248775.0,820475.0,39.7,46.0,1150.0,-1346.0,-2.9788020391294197,-29.26086956521739
151,45500.0,6027700.0,2723900.0,45.5,44200.0,1926050.0,372100.0,8.35,53.85,1346.25,-1353.8499999999985,-2.996174695895513,-25.14113277623024
152,45200.0,5808700.0,4299350.0,150.55,44000.0,3446600.0,623950.0,7.1,157.65,3941.25,-1357.6500000000015,-3.0045843896166873,-8.611798287345394
153,46400.0,814075.0,259075.0,4.45,45200.0,5573200.0,3331225.0,155.75,160.2,4004.9999999999995,-1360.199999999997,-3.0102277367190404,-8.490636704119833
154,46200.0,1691100.0,436775.0,5.45,44900.0,3096150.0,1801275.0,56.85,62.300000000000004,1557.5,-1362.2999999999956,-3.01487519903863,-21.866773675762367
155,45400.0,4535250.0,2639075.0,69.9,44100.0,1127275.0,-178000.0,7.55,77.45,1936.25,-1377.4500000000044,-3.0484033200585676,-17.78502259522278
156,46500.0,4800650.0,1379750.0,4.2,45400.0,1194400.0,265575.0,275.05,279.25,6981.25,-1379.25,-3.052386859189638,-4.939122649955237
157,45000.0,2440075.0,1173100.0,276.9,43900.0,933925.0,-67175.0,6.25,283.15,7078.749999999999,-1383.1500000000015,-3.061017860640313,-4.884866678438995
158,46300.0,1066325.0,317750.0,4.85,45000.0,7724850.0,4165800.0,81.3,86.14999999999999,2153.75,-1386.1500000000015,-3.0676570925254456,-16.08995937318632
159,45300.0,5254300.0,3348375.0,105.3,44000.0,3446600.0,623950.0,7.1,112.39999999999999,2810.0,-1412.4000000000015,-3.125750371520354,-12.565836298932398
160,46500.0,4800650.0,1379750.0,4.2,45300.0,2801750.0,573900.0,210.05,214.25,5356.25,-1414.25,-3.129844564516183,-6.600933488914819
161,45100.0,2374975.0,1930075.0,209.0,43900.0,933925.0,-67175.0,6.25,215.25,5381.25,-1415.25,-3.132057641811227,-6.574912891986063
162,46400.0,814075.0,259075.0,4.45,45100.0,4001700.0,2254300.0,113.15,117.60000000000001,2940.0,-1417.5999999999985,-3.1372583734545776,-12.05442176870747
